OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,ExterQual_TA,KitchenQual_TA,SalePrice
8,2008,2008,1566,1566,1566,2,7,2,750,False,False,262500
5,1945,1997,686,866,866,1,4,0,0,True,False,110500
5,1900,1950,540,889,1440,1,6,1,352,True,True,79000
6,1980,1980,626,626,1217,1,6,1,288,True,True,120000
7,1994,2002,948,1222,2110,2,8,2,463,False,False,205000
7,1988,1988,1845,1872,1872,2,6,2,604,True,True,241500
6,1910,1950,1020,908,1928,2,9,1,440,True,False,137000
6,1954,1954,1367,1375,1375,1,5,2,451,True,True,140000
7,2003,2003,840,840,1668,2,8,2,500,False,False,180000
6,1958,2006,1444,1444,2144,2,7,2,389,False,False,277000
3,1940,1966,728,1306,1306,1,6,0,0,True,False,76500
8,2006,2007,1573,1625,1625,2,5,2,538,False,False,235000
6,2004,2004,798,798,1640,2,6,2,520,False,False,173000
6,1964,1991,1302,1302,1302,2,7,1,309,True,False,158000
5,1957,1957,1314,1314,1314,1,5,1,294,True,True,145000
7,1999,1999,975,1005,2291,2,8,2,429,False,False,230000
6,2003,2003,864,864,1728,2,7,2,673,False,False,207500
7,2006,2006,1604,1604,1604,2,8,2,660,False,False,220000
7,2001,2001,963,963,1792,2,7,2,564,False,False,231500
5,1956,1956,0,882,882,1,4,1,308,True,True,97000
6,1962,1962,1362,1382,1382,1,6,2,884,True,True,176000
8,2007,2007,1482,1482,2574,2,10,3,868,False,False,276000
6,1977,1995,506,1212,1212,1,6,2,492,True,True,151000
5,1929,2001,926,926,1316,1,6,2,484,True,True,130000
5,1925,2004,680,764,764,1,4,2,504,True,True,73000
6,1981,1981,1422,1422,1422,2,7,2,576,True,False,175500
6,1997,1997,802,802,1511,2,8,2,413,True,True,185000
5,1939,1997,720,1052,2192,2,8,1,240,True,False,179500
5,1940,1955,740,778,778,1,4,1,924,True,True,120500
6,1976,1976,1143,1113,1113,1,6,1,504,True,True,148000
8,2006,2006,1095,1095,1939,2,8,3,1053,False,False,266000
7,1954,2005,1385,1363,1363,1,5,2,439,True,True,241500
8,1999,2007,1152,1164,2270,2,9,3,671,False,False,290000
6,1958,1988,1240,1632,1632,2,6,1,338,True,True,139000
5,1982,1982,816,816,816,1,5,1,264,True,True,124500
7,1925,2007,952,952,1548,2,5,2,672,False,False,205000
7,2003,2003,1560,1560,1560,2,7,2,573,False,False,201000
4,1951,1951,864,864,864,1,4,2,400,True,True,141000
9,2006,2007,2121,2121,2121,2,8,3,732,False,False,415298
7,1977,1977,1160,1156,2022,2,8,2,505,True,True,192000
7,1989,1989,807,1175,1982,2,7,2,575,False,False,228500
6,2006,2006,1262,1262,1262,2,5,2,572,False,False,185000
7,2007,2008,1314,1314,1314,2,6,2,626,False,False,207500
8,2008,2009,1468,1468,1468,2,6,3,898,False,False,244600
6,1992,1992,1575,1575,1575,2,5,2,529,False,False,179200
7,2006,2007,625,625,1250,2,5,2,528,False,False,164700
6,1962,1981,912,1085,1734,1,7,2,440,True,False,159000
4,1971,1971,858,858,858,1,5,0,0,True,True,88000
5,1967,1967,882,900,900,1,5,1,280,True,True,122000
6,1915,2003,698,698,1396,1,7,1,384,True,True,153575
8,2006,2006,1079,1079,1919,2,8,2,685,False,False,233230
5,1912,2000,780,936,1716,2,9,0,0,True,False,135900
5,1949,2008,768,1148,1716,1,8,1,281,True,True,131000
7,1977,1994,795,1468,2263,2,9,2,539,True,False,235000
6,1953,1953,1416,1644,1644,1,7,2,418,True,True,167000
6,1984,1984,1003,1003,1003,1,6,2,588,True,True,142500
5,1950,1950,910,910,1558,1,6,1,282,True,True,152000
7,1997,1998,975,975,1950,2,7,2,576,False,False,239000
6,1968,1968,702,1041,1743,1,7,2,539,False,True,175000
6,1950,2004,1092,1152,1152,1,6,1,300,True,False,158500
5,1953,1953,1165,1336,1336,1,5,1,375,True,True,157000
8,1998,1999,1028,1210,2452,2,9,2,683,False,False,267000
7,2001,2002,1541,1541,1541,2,6,3,843,False,False,205000
5,1972,1972,894,894,894,1,5,2,552,True,True,149900
7,1880,2002,1470,1675,3493,3,10,3,870,True,False,295000
8,2004,2005,2000,2000,2000,2,8,3,888,False,False,305900
7,1990,1991,700,1122,2243,2,8,3,746,False,False,225000
6,1920,1950,319,1035,1406,1,6,0,0,True,False,89500
4,1940,1950,861,861,861,1,4,2,539,True,True,82500
9,2003,2004,1896,1944,1944,2,8,3,708,False,False,360000
6,1993,1994,697,697,1501,2,6,2,420,True,False,165600
6,1948,2002,972,972,972,1,5,1,240,True,True,132000
5,1939,1950,793,793,1118,1,5,2,410,True,True,119900
7,1965,1965,2136,2036,2036,2,8,2,513,True,True,375000
7,1925,1990,728,832,1641,1,6,2,546,True,False,178000
7,2004,2005,716,716,1432,2,6,2,432,False,False,188500
7,1980,1980,845,1153,2353,2,10,2,484,False,False,260000
8,2006,2006,1088,1088,1959,2,8,3,1025,False,False,270000
7,1993,1993,1347,1372,2646,2,9,3,656,False,False,260000
7,1980,1980,1372,1472,1472,2,6,2,588,True,True,187500
9,2006,2006,1249,1249,2596,3,9,3,840,True,False,342643
8,2004,2004,1136,1136,2468,2,10,3,872,False,False,354000
7,1986,1987,1502,1553,2730,2,8,2,576,False,False,301000
3,1955,2005,1162,1163,1163,1,6,1,220,True,True,126175
7,1967,2007,710,1898,2978,2,11,2,564,False,False,242000
5,1941,1950,720,803,803,1,5,2,360,True,True,87000
8,1993,1993,1719,1719,1719,1,6,2,473,False,False,324000
6,1960,1960,1383,1383,1383,1,7,1,292,True,True,145250
6,1916,1994,844,1445,2134,2,10,2,441,True,False,214500
5,1920,1950,596,596,1192,1,6,1,189,True,True,78000
5,1964,1964,1728,1728,1728,2,10,1,352,True,True,119000
5,1958,1992,1056,1056,1056,1,6,1,308,True,True,139000
8,2003,2004,3206,1629,1629,2,7,3,880,False,False,284000
7,2004,2004,1358,1358,1358,2,6,2,484,False,False,207000
6,1998,1998,943,943,1638,2,7,2,472,True,True,192000
5,1965,1965,1499,1619,1786,2,7,2,529,True,True,228950
9,2005,2006,1922,1922,1922,2,8,3,676,False,False,377426
7,2002,2003,1536,1536,1536,2,7,2,532,False,False,214000
7,1984,1998,1208,1621,1621,2,8,2,440,False,False,202500
6,1958,1998,1215,1215,1215,1,6,1,297,True,True,155000
8,2002,2002,967,993,1908,2,9,2,431,False,False,202900
4,1950,1950,721,841,841,1,4,1,294,False,True,82000
3,1949,1950,0,1040,1040,2,6,2,400,True,True,87500
9,2005,2005,1684,1684,1684,2,6,2,564,False,False,266000
5,1976,1976,536,536,1112,1,4,1,336,True,True,85000
6,1939,1950,972,972,1577,1,6,1,312,True,False,140200
6,1960,1998,958,958,958,1,5,1,301,True,True,151500
6,1960,1960,1478,1478,1478,2,6,2,498,True,True,157500
7,2003,2004,764,764,1626,2,6,2,474,False,False,154000
9,2005,2006,1848,1848,2728,2,10,3,706,False,False,437154
9,2007,2007,1869,1869,1869,2,6,2,617,False,False,318061
7,1986,1986,1453,1453,1453,1,6,2,445,True,False,190000
5,1941,1950,616,616,1111,1,5,1,200,True,True,95000
6,1928,2003,624,720,720,1,5,2,484,True,True,105900
6,1940,2000,940,1192,1595,1,6,1,240,True,True,140000
6,1995,1995,1200,1200,1200,2,6,2,521,False,False,177500
6,1992,1992,1158,1167,1167,2,6,2,400,True,False,173000
5,1976,1976,1142,1142,1142,1,6,2,528,True,True,134000
5,1958,1958,1062,1352,1352,1,6,1,288,True,False,130000
8,1998,1998,1086,1086,1924,2,7,2,592,False,False,280000
6,1978,1978,888,912,912,1,5,2,470,True,True,156000
5,1940,1982,883,988,1505,1,8,1,240,True,True,145000
7,2003,2003,0,495,1922,3,7,2,672,False,False,198500
6,1972,2007,483,483,987,1,5,1,264,True,False,118000
6,1976,1976,796,790,1574,2,6,2,566,True,True,190000
5,1920,1997,672,672,1344,1,6,1,468,True,True,147000
6,1963,1963,1394,1394,1394,1,6,2,514,True,True,159000
6,1962,1962,1099,1431,1431,1,6,1,296,True,True,165000
5,1954,1954,1268,1268,1268,1,7,1,244,True,True,132000
5,1959,2006,1063,1287,1287,1,7,2,576,True,False,162000
6,2000,2000,953,953,1664,2,7,2,460,True,True,172400
4,1959,1959,0,1120,1588,2,7,2,680,True,True,134432
6,1984,1984,744,752,752,1,4,1,264,True,True,125000
5,1953,1953,608,1319,1319,1,5,1,270,True,True,123000
7,2003,2004,847,847,1928,2,8,2,434,False,False,219500
1,1922,1950,683,904,904,0,4,0,0,False,False,61000
5,1996,1996,870,914,914,1,5,2,576,False,True,148000
8,2004,2005,1580,1580,2466,3,8,2,610,False,False,340000
9,2010,2010,1856,1856,1856,1,8,3,834,False,False,394432
6,2000,2000,982,1007,1800,2,7,2,463,True,True,179000
5,1924,1950,1026,1026,1691,2,6,1,308,True,False,127000
7,2006,2006,1293,1301,1301,2,5,2,572,False,False,187750
7,2006,2006,939,939,1797,2,8,2,639,False,False,213500
6,1928,1950,784,784,784,1,5,2,360,True,True,76000
6,1992,1992,1580,1079,1953,2,9,2,501,False,False,240000
8,2004,2005,1256,1269,1269,2,6,2,430,False,False,192000
5,1910,1996,658,658,1184,1,8,0,0,True,True,81000
6,1976,1976,1041,1125,1125,1,6,1,352,True,True,125000
7,1999,2000,1468,1479,1479,2,6,2,577,False,False,191000
10,2007,2008,1682,1742,2332,2,9,3,846,False,False,426000
5,1900,1950,861,961,1367,1,7,1,384,True,True,119000
6,2001,2002,804,804,1961,2,7,2,560,True,False,215000
5,1959,1959,0,882,882,1,5,1,294,True,True,106500
4,1941,1950,788,788,788,1,4,0,0,True,True,100000
5,1940,1950,735,735,1034,1,5,1,240,True,True,109000
5,1956,1956,1144,1144,1144,1,6,1,596,True,True,129000
5,1972,1972,894,894,894,1,6,2,600,True,True,123000
5,1962,1962,864,876,1812,2,8,1,264,True,True,169500
5,1920,1950,961,1077,1077,1,6,1,338,True,True,67000
7,2006,2007,1092,1112,1550,2,7,2,438,False,False,241000
8,1996,1996,1260,1288,1288,1,4,2,500,False,False,245500
7,2005,2005,1310,1310,1310,2,6,2,400,False,False,164990
5,1940,1997,672,672,672,1,4,1,240,True,True,108000
8,1998,1998,1141,1165,2263,2,10,2,420,False,False,258000
6,1995,1996,806,806,1572,2,7,2,373,True,True,168000
4,1976,1993,1281,1620,1620,2,8,2,490,True,True,150000
6,1936,1950,1064,1166,1639,1,6,1,240,True,True,115000
6,1915,1976,840,840,1680,2,8,1,308,True,True,177000
7,2006,2006,1063,1071,2172,2,9,3,947,False,False,280000
8,2007,2008,1034,1050,2078,2,8,3,836,False,False,339750
5,1958,1958,1276,1276,1276,1,5,1,350,True,True,60000
5,1955,1955,1056,1056,1056,1,5,2,572,True,True,145000
7,2009,2009,1470,1478,1478,2,7,2,484,False,False,222000
5,1927,1950,1008,1028,1028,1,5,2,360,True,True,115000
7,1993,1993,1080,1080,2097,2,9,3,678,False,False,228000
7,2007,2007,1340,1340,1340,2,6,2,396,False,False,181134
6,1978,1978,672,672,1400,1,6,2,440,True,True,149500
6,1918,1950,1370,1370,2624,2,10,3,864,True,True,239000
5,1940,1950,756,756,1134,1,7,1,240,True,True,126000
5,1968,1968,1056,1056,1056,1,6,1,304,True,True,142000
7,1997,1998,1344,1344,1344,2,8,4,784,True,True,206300
6,1977,2000,1602,1602,1602,2,8,2,529,False,False,215000
5,1954,1954,988,988,988,1,4,2,520,True,True,113000
8,1998,1998,1470,1470,2630,2,8,3,696,False,False,315000
6,1956,1956,1196,1196,1196,1,6,1,297,True,True,139000
7,1946,1992,651,707,1389,1,6,1,240,True,True,135000
7,1989,1989,1518,1644,1644,2,5,2,569,False,False,275000
4,1957,1957,907,907,907,1,5,1,352,True,True,109008
7,2007,2007,1208,1208,1208,2,6,2,628,False,False,195400
6,1988,1988,1392,1412,1412,2,6,2,576,True,False,175000
6,1971,1971,483,483,987,1,4,1,264,True,True,85400
6,1920,1998,901,1088,1198,1,7,0,0,True,True,79900
5,1971,1971,765,765,1365,1,6,2,440,True,True,122500
6,1997,1998,926,926,1604,2,7,2,470,True,True,181000
4,1972,1972,630,630,630,1,3,0,0,True,True,81000
7,1996,1996,799,827,1661,2,6,2,550,False,False,212000
6,1920,1950,648,734,1118,1,6,2,440,True,True,116000
6,1926,2004,884,904,904,1,4,1,180,False,True,119000
5,1913,2002,440,694,694,1,4,1,352,True,False,90350
6,1920,2000,684,684,1196,1,7,2,528,True,False,110000
10,2008,2008,3094,2402,2402,2,10,3,672,False,False,555000
4,1955,1955,1440,1440,1440,2,8,0,0,True,False,118000
5,1930,1992,1078,1128,1573,2,8,2,360,True,True,162900
7,2006,2007,1258,1258,1258,2,6,3,648,False,False,172500
7,1994,1995,915,933,1908,2,8,2,493,False,False,210000
